Gender,Education_Level,Income_Level,Urban_Rural,Profession,Dowry_Amount_Lakhs
Male,Postgraduate,Low,Urban,Software Engineer,23.09
Female,Postgraduate,Low,Urban,Government Officer,24.43
Male,Postgraduate,High,Rural,Government Officer,22.4
Male,Graduate,Low,Urban,Software Engineer,25.35
Male,Postgraduate,Low,Urban,Teacher,10.0
Female,School,Low,Rural,Teacher,13.21
Male,Postgraduate,Middle,Urban,Business Owner,12.95
Male,School,Middle,Urban,Business Owner,17.92
Male,Postgraduate,Middle,Urban,Farmer,9.82
Female,Postgraduate,Middle,Rural,Teacher,11.78
Male,School,High,Rural,Farmer,5.97
Male,Postgraduate,High,Urban,Doctor,27.61
Male,Postgraduate,Low,Urban,Government Officer,18.59
Male,Postgraduate,High,Urban,Business Owner,13.54
Female,Graduate,Middle,Rural,Doctor,34.8
Male,School,Low,Rural,Business Owner,14.05
Female,Postgraduate,Low,Urban,Software Engineer,10.64
Female,School,Middle,Urban,Government Officer,20.14
Female,School,Middle,Urban,Farmer,9.55
Male,School,Middle,Urban,Farmer,10.97
Female,Postgraduate,High,Rural,Business Owner,15.59
Male,Postgraduate,Low,Rural,Teacher,5.19
Female,School,Middle,Urban,Farmer,4.08
Female,Graduate,Low,Rural,Software Engineer,13.22
Female,School,Low,Rural,Software Engineer,14.23
Female,Graduate,High,Urban,Teacher,13.0
Female,School,Low,Urban,Software Engineer,16.2
Female,School,Middle,Urban,Government Officer,16.06
Female,School,Middle,Urban,Business Owner,17.07
Female,Postgraduate,Low,Rural,Software Engineer,18.25
Male,Graduate,Low,Urban,Government Officer,12.84
Male,Graduate,High,Urban,Teacher,10.85
Female,School,Middle,Urban,Business Owner,9.56
Female,Postgraduate,Middle,Urban,Teacher,10.72
Female,Postgraduate,Low,Rural,Business Owner,17.36
Male,Graduate,Low,Urban,Software Engineer,28.59
Female,Postgraduate,Low,Urban,Software Engineer,11.34
Male,Graduate,Middle,Rural,Business Owner,11.65
Male,Graduate,Low,Urban,Government Officer,20.48
Male,Graduate,High,Urban,Government Officer,16.1
Male,Postgraduate,High,Urban,Government Officer,17.86
Male,Graduate,Low,Rural,Doctor,15.4
Female,Graduate,High,Urban,Farmer,9.24
Female,School,High,Urban,Farmer,10.95
Female,Graduate,High,Urban,Farmer,11.79
Female,Graduate,High,Rural,Government Officer,22.8
Female,School,High,Urban,Software Engineer,10.64
Male,School,Middle,Urban,Doctor,28.04
Female,Postgraduate,Low,Urban,Government Officer,18.44
Female,Graduate,High,Rural,Software Engineer,28.76
Male,Postgraduate,Low,Rural,Doctor,33.04
Female,Postgraduate,High,Urban,Software Engineer,29.76
Male,School,Middle,Urban,Business Owner,18.34
Female,Postgraduate,Middle,Rural,Software Engineer,20.94
Male,Graduate,High,Urban,Doctor,29.3
Female,School,High,Rural,Government Officer,24.54
Female,Graduate,High,Rural,Farmer,8.2
Male,Graduate,Middle,Rural,Doctor,31.8
Male,School,Middle,Urban,Government Officer,24.25
Male,Graduate,Low,Rural,Government Officer,19.42
Male,School,Middle,Rural,Teacher,6.59
Male,Graduate,High,Urban,Business Owner,9.87
Male,School,Low,Urban,Teacher,6.15
Male,Postgraduate,Middle,Urban,Farmer,7.29
Male,Graduate,Middle,Rural,Doctor,24.6
Female,School,High,Rural,Teacher,11.17
Female,Graduate,Low,Urban,Farmer,7.35
Male,Graduate,Middle,Rural,Government Officer,24.65
Female,Graduate,Middle,Urban,Doctor,20.83
Female,School,High,Urban,Teacher,13.74
Female,Postgraduate,Low,Urban,Software Engineer,12.01
Female,Postgraduate,Low,Urban,Farmer,8.42
Male,Postgraduate,Low,Urban,Farmer,8.83
Female,School,Low,Rural,Business Owner,17.27
Male,Postgraduate,High,Rural,Software Engineer,20.06
Female,School,Middle,Urban,Doctor,18.94
Female,Graduate,Middle,Rural,Teacher,8.69
Female,Graduate,Low,Rural,Government Officer,15.54
Male,Postgraduate,Low,Urban,Teacher,9.19
Female,School,Low,Rural,Doctor,25.6
Male,Graduate,Middle,Rural,Doctor,27.5
